train_number,train_name,station_code,station_name,arrival_time,departure_time,distance_km,day_of_journey,runs_on_days
16605,Mangala Lakshadweep Exp,TIR,Tirur,11:26,11:28,236.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TUA,Tirunnavaya,11:37,11:39,245.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KTU,Kuttippuram,11:46,11:48,251.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,SRR,Shoranur Junction,12:18,12:20,279.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,VTK,Vallathol Nagar,12:23,12:25,282.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,WKI,Wadakancheri,12:36,12:38,292.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MGK,Mulagunnathukavu,12:46,12:48,299.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,AMLR,Amalanagar,12:54,12:56,304.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PNQ,Punkunnam,13:02,13:04,309.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TCR,Thrissur,13:06,13:08,311.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,OLR,Ollur,13:14,13:16,317.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PUK,Pudukad,13:23,13:25,324.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,IJK,Irinjalakuda,13:35,13:37,333.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CKI,Chalakudi,13:44,13:46,339.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KUC,Karukkutty,13:57,13:59,349.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,AFK,Angamali (Kaladi),14:04,14:06,354.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CWR,Chovvara,14:12,14:14,359.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ALVA,Aluva,14:18,14:20,363.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PNCU,Pulinchodu,14:22,14:24,365.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CPPY,Companypady,14:25,14:27,366.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,AATK,Ambattukavu,14:28,14:30,367.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MUTT,Muttom,14:31,14:33,368.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KLMR,Kalamassery,14:35,14:37,369.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CCUV,Cochin University,14:39,14:41,371.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PDPM,Pathadipalam,14:42,14:44,372.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,EDAP,Edappally,14:46,14:48,374.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CGPP,Changampuzha Park,14:49,14:51,375.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PARV,Palarivattom,14:52,14:54,376.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,JLSD,JLN Stadium,14:55,14:57,377.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KALR,Kaloor,14:58,15:00,378.3,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ERN,Ernakulam Town,15:01,15:03,379.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KPTM,Kanjiramattam,15:25,15:27,399.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TUVR,Turavur,15:43,15:45,413.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,SRTL,Cherthala,15:55,15:57,423.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MAKM,Mararikulam,16:09,16:11,433.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,ALLP,Alappuzha,16:24,16:26,446.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,AMPA,Ambalappuzha,16:39,16:41,458.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,HAD,Haripad,16:59,17:01,474.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CHPD,Cheppad Halt Station,17:07,17:09,479.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KYJ,Kayamkulam Junction,17:16,17:18,486.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,OCR,Ochira,17:24,17:26,492.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KPY,Karunagapalli railway station,17:35,17:37,499.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,STKT,Sasthamkotta,17:45,17:47,507.1,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MQO,Munroe Thuruttu,17:51,17:53,511.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KLQ,Kilikollur,18:03,18:05,520.2,1,MTWTFSS
16605,Mangala Lakshadweep Exp,QLN,Kollam Junction,18:11,18:13,525.6,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MYY,Mayyanad,18:21,18:23,533.4,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PVU,Paravur,18:27,18:29,536.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KFI,Kappil,18:34,18:36,541.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,EVA,Edavai,18:39,18:41,543.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,VAK,Varkala Sivagiri,18:45,18:47,547.5,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KVU,Kadakavur,18:56,18:58,556.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,CRY,Chirayinkeezh,19:01,19:03,558.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,PGZ,Perunguzhi,19:07,19:09,562.8,1,MTWTFSS
16605,Mangala Lakshadweep Exp,MQU,Murukkampuzha,19:13,19:15,566.0,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KXP,Kaniyapuram,19:19,19:21,569.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,KZK,Kazhakuttam,19:26,19:28,573.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TVCN,Thiruvananthapuram North,19:34,19:36,579.7,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TVP,Thiruvananthapuram Pettah,19:40,19:42,583.9,1,MTWTFSS
16605,Mangala Lakshadweep Exp,TVC,Thiruvananthapuram Central,19:45,--,586.3,1,MTWTFSS
12625,Kerala Express,MJS,Manjeshwar,--,07:32,0.0,1,MTWTFSS
12625,Kerala Express,UAA,Uppala,07:39,07:41,6.4,1,MTWTFSS
12625,Kerala Express,KMQ,Kumbla,07:53,07:55,16.2,1,MTWTFSS
12625,Kerala Express,KGQ,Kasargod,08:09,08:11,28.2,1,MTWTFSS
12625,Kerala Express,KQK,Kottikkulam,08:22,08:24,36.7,1,MTWTFSS
12625,Kerala Express,BFR,Bekal Fort,08:29,08:31,41.3,1,MTWTFSS
12625,Kerala Express,NLE,Nileshwar,08:52,08:54,59.0,1,MTWTFSS
12625,Kerala Express,CHV,Cheruvattur,09:00,09:02,64.0,1,MTWTFSS
12625,Kerala Express,TKQ,Trikaripur,09:12,09:14,72.3,1,MTWTFSS
12625,Kerala Express,ELM,Elimala,09:26,09:28,82.5,1,MTWTFSS
12625,Kerala Express,PAZ,Payangadi,09:36,09:38,88.6,1,MTWTFSS
12625,Kerala Express,KPQ,Kannapuram,09:47,09:49,95.8,1,MTWTFSS
12625,Kerala Express,PPNS,Pappinisseri,09:56,09:58,101.7,1,MTWTFSS
12625,Kerala Express,VAPM,Valapattanam,10:00,10:02,103.3,1,MTWTFSS
12625,Kerala Express,CAN,Kannur,10:09,10:11,109.9,1,MTWTFSS
12625,Kerala Express,CS,Kannur South,10:16,10:18,113.5,1,MTWTFSS
12625,Kerala Express,ETK,Etakkot,10:28,10:30,121.8,1,MTWTFSS
12625,Kerala Express,TLY,Thalassery,10:39,10:41,129.6,1,MTWTFSS
12625,Kerala Express,JGE,Jagannath Temple Gate,10:44,10:46,132.1,1,MTWTFSS
12625,Kerala Express,MAHE,Mahé,10:53,10:55,138.1,1,MTWTFSS
12625,Kerala Express,BDJ,Vadakara railway station,11:10,11:12,150.6,1,MTWTFSS
12625,Kerala Express,PYOL,Payyoli,11:23,11:25,159.8,1,MTWTFSS
12625,Kerala Express,TKT,Tikkotti,11:29,11:31,163.0,1,MTWTFSS
12625,Kerala Express,QLD,Quilandi,11:42,11:44,171.8,1,MTWTFSS
12625,Kerala Express,CMC,Chemancheri,11:50,11:52,177.1,1,MTWTFSS
12625,Kerala Express,ETR,Elattur,12:00,12:02,184.1,1,MTWTFSS
12625,Kerala Express,WH,West Hill,12:11,12:13,191.4,1,MTWTFSS
12625,Kerala Express,CLT,Kozhikode,12:19,12:21,196.0,1,MTWTFSS
12625,Kerala Express,KUL,Kallayi,12:23,12:25,197.7,1,MTWTFSS
12625,Kerala Express,FK,Ferok,12:34,12:36,205.5,1,MTWTFSS
12625,Kerala Express,KN,Kadalundi,12:42,12:44,210.2,1,MTWTFSS
12625,Kerala Express,VLI,Vallikunnu,12:50,12:52,215.5,1,MTWTFSS
12625,Kerala Express,PGI,Parappanangadi,12:58,13:00,220.5,1,MTWTFSS
12625,Kerala Express,TA,Tanur,13:10,13:12,228.6,1,MTWTFSS
12625,Kerala Express,TIR,Tirur,13:21,13:23,236.6,1,MTWTFSS
12625,Kerala Express,TUA,Tirunnavaya,13:34,13:36,245.0,1,MTWTFSS
12625,Kerala Express,KTU,Kuttippuram,13:43,13:45,251.3,1,MTWTFSS
12625,Kerala Express,SRR,Shoranur Junction,14:18,14:20,279.0,1,MTWTFSS
12625,Kerala Express,VTK,Vallathol Nagar,14:24,14:26,282.2,1,MTWTFSS
12625,Kerala Express,WKI,Wadakancheri,14:38,14:40,292.3,1,MTWTFSS
12625,Kerala Express,MGK,Mulagunnathukavu,14:49,14:51,299.4,1,MTWTFSS
12625,Kerala Express,AMLR,Amalanagar,14:57,14:59,304.8,1,MTWTFSS
12625,Kerala Express,PNQ,Punkunnam,15:05,15:07,309.9,1,MTWTFSS
12625,Kerala Express,TCR,Thrissur,15:10,15:12,311.9,1,MTWTFSS
12625,Kerala Express,OLR,Ollur,15:19,15:21,317.5,1,MTWTFSS
12625,Kerala Express,PUK,Pudukad,15:28,15:30,324.0,1,MTWTFSS
12625,Kerala Express,IJK,Irinjalakuda,15:41,15:43,333.1,1,MTWTFSS
12625,Kerala Express,CKI,Chalakudi,15:51,15:53,339.3,1,MTWTFSS
12625,Kerala Express,KUC,Karukkutty,16:05,16:07,349.6,1,MTWTFSS
12625,Kerala Express,AFK,Angamali (Kaladi),16:13,16:15,354.2,1,MTWTFSS
12625,Kerala Express,CWR,Chovvara,16:21,16:23,359.9,1,MTWTFSS
12625,Kerala Express,ALVA,Aluva,16:28,16:30,363.5,1,MTWTFSS
12625,Kerala Express,PNCU,Pulinchodu,16:32,16:34,365.2,1,MTWTFSS
12625,Kerala Express,CPPY,Companypady,16:35,16:37,366.2,1,MTWTFSS
12625,Kerala Express,AATK,Ambattukavu,16:38,16:40,367.1,1,MTWTFSS
12625,Kerala Express,MUTT,Muttom,16:41,16:43,368.1,1,MTWTFSS
12625,Kerala Express,KLMR,Kalamassery,16:45,16:47,369.4,1,MTWTFSS
12625,Kerala Express,CCUV,Cochin University,16:49,16:51,371.4,1,MTWTFSS
12625,Kerala Express,PDPM,Pathadipalam,16:53,16:55,372.7,1,MTWTFSS
12625,Kerala Express,EDAP,Edappally,16:56,16:58,374.0,1,MTWTFSS
12625,Kerala Express,CGPP,Changampuzha Park,17:00,17:02,375.3,1,MTWTFSS
12625,Kerala Express,PARV,Palarivattom,17:03,17:05,376.4,1,MTWTFSS
12625,Kerala Express,JLSD,JLN Stadium,17:06,17:08,377.3,1,MTWTFSS
12625,Kerala Express,KALR,Kaloor,17:10,17:12,378.3,1,MTWTFSS
12625,Kerala Express,ERN,Ernakulam Town,17:12,17:14,379.0,1,MTWTFSS
12625,Kerala Express,KPTM,Kanjiramattam,17:38,17:40,399.0,1,MTWTFSS
12625,Kerala Express,TUVR,Turavur,17:58,18:00,413.7,1,MTWTFSS
12625,Kerala Express,SRTL,Cherthala,18:11,18:13,423.2,1,MTWTFSS
12625,Kerala Express,MAKM,Mararikulam,18:26,18:28,433.6,1,MTWTFSS
12625,Kerala Express,ALLP,Alappuzha,18:43,18:45,446.2,1,MTWTFSS
12625,Kerala Express,AMPA,Ambalappuzha,18:59,19:01,458.0,1,MTWTFSS
12625,Kerala Express,HAD,Haripad,19:21,19:23,474.4,1,MTWTFSS
12625,Kerala Express,CHPD,Cheppad Halt Station,19:29,19:31,479.5,1,MTWTFSS
12625,Kerala Express,KYJ,Kayamkulam Junction,19:39,19:41,486.5,1,MTWTFSS
12625,Kerala Express,OCR,Ochira,19:48,19:50,492.2,1,MTWTFSS
12625,Kerala Express,KPY,Karunagapalli railway station,19:59,20:01,499.9,1,MTWTFSS
12625,Kerala Express,STKT,Sasthamkotta,20:10,20:12,507.1,1,MTWTFSS
12625,Kerala Express,MQO,Munroe Thuruttu,20:17,20:19,511.4,1,MTWTFSS
12625,Kerala Express,KLQ,Kilikollur,20:30,20:32,520.2,1,MTWTFSS
12625,Kerala Express,QLN,Kollam Junction,20:38,20:40,525.6,1,MTWTFSS
12625,Kerala Express,MYY,Mayyanad,20:50,20:52,533.4,1,MTWTFSS
12625,Kerala Express,PVU,Paravur,20:56,20:58,536.9,1,MTWTFSS
12625,Kerala Express,KFI,Kappil,21:03,21:05,541.0,1,MTWTFSS
12625,Kerala Express,EVA,Edavai,21:08,21:10,543.7,1,MTWTFSS
12625,Kerala Express,VAK,Varkala Sivagiri,21:15,21:17,547.5,1,MTWTFSS
12625,Kerala Express,KVU,Kadakavur,21:27,21:29,556.0,1,MTWTFSS
12625,Kerala Express,CRY,Chirayinkeezh,21:32,21:34,558.9,1,MTWTFSS
12625,Kerala Express,PGZ,Perunguzhi,21:39,21:41,562.8,1,MTWTFSS
12625,Kerala Express,MQU,Murukkampuzha,21:45,21:47,566.0,1,MTWTFSS
12625,Kerala Express,KXP,Kaniyapuram,21:51,21:53,569.9,1,MTWTFSS
12625,Kerala Express,KZK,Kazhakuttam,21:58,22:00,573.9,1,MTWTFSS
12625,Kerala Express,TVCN,Thiruvananthapuram North,22:07,22:09,579.7,1,MTWTFSS
12625,Kerala Express,TVP,Thiruvananthapuram Pettah,22:14,22:16,583.9,1,MTWTFSS
12625,Kerala Express,TVC,Thiruvananthapuram Central,22:19,--,586.3,1,MTWTFSS
16345,Netravati Express,MJS,Manjeshwar,--,09:02,0.0,1,MTWTFSS
16345,Netravati Express,UAA,Uppala,09:10,09:12,6.4,1,MTWTFSS
16345,Netravati Express,KMQ,Kumbla,09:24,09:26,16.2,1,MTWTFSS
16345,Netravati Express,KGQ,Kasargod,09:41,09:43,28.2,1,MTWTFSS
16345,Netravati Express,KQK,Kottikkulam,09:53,09:55,36.7,1,MTWTFSS
16345,Netravati Express,BFR,Bekal Fort,10:01,10:03,41.3,1,MTWTFSS
16345,Netravati Express,NLE,Nileshwar,10:25,10:27,59.0,1,MTWTFSS
16345,Netravati Express,CHV,Cheruvattur,10:33,10:35,64.0,1,MTWTFSS
16345,Netravati Express,TKQ,Trikaripur,10:46,10:48,72.3,1,MTWTFSS
16345,Netravati Express,ELM,Elimala,11:01,11:03,82.5,1,MTWTFSS
16345,Netravati Express,PAZ,Payangadi,11:10,11:12,88.6,1,MTWTFSS
16345,Netravati Express,KPQ,Kannapuram,11:21,11:23,95.8,1,MTWTFSS
16345,Netravati Express,PPNS,Pappinisseri,11:31,11:33,101.7,1,MTWTFSS
16345,Netravati Express,VAPM,Valapattanam,11:35,11:37,103.3,1,MTWTFSS
16345,Netravati Express,CAN,Kannur,11:45,11:47,109.9,1,MTWTFSS
16345,Netravati Express,CS,Kannur South,11:51,11:53,113.5,1,MTWTFSS
16345,Netravati Express,ETK,Etakkot,12:04,12:06,121.8,1,MTWTFSS
16345,Netravati Express,TLY,Thalassery,12:16,12:18,129.6,1,MTWTFSS
16345,Netravati Express,JGE,Jagannath Temple Gate,12:21,12:23,132.1,1,MTWTFSS
16345,Netravati Express,MAHE,Mahé,12:30,12:32,138.1,1,MTWTFSS
16345,Netravati Express,BDJ,Vadakara railway station,12:48,12:50,150.6,1,MTWTFSS
16345,Netravati Express,PYOL,Payyoli,13:01,13:03,159.8,1,MTWTFSS
16345,Netravati Express,TKT,Tikkotti,13:07,13:09,163.0,1,MTWTFSS
16345,Netravati Express,QLD,Quilandi,13:20,13:22,171.8,1,MTWTFSS
16345,Netravati Express,CMC,Chemancheri,13:29,13:31,177.1,1,MTWTFSS
16345,Netravati Express,ETR,Elattur,13:40,13:42,184.1,1,MTWTFSS
16345,Netravati Express,WH,West Hill,13:51,13:53,191.4,1,MTWTFSS
16345,Netravati Express,CLT,Kozhikode,13:59,14:01,196.0,1,MTWTFSS
16345,Netravati Express,KUL,Kallayi,14:03,14:05,197.7,1,MTWTFSS
16345,Netravati Express,FK,Ferok,14:14,14:16,205.5,1,MTWTFSS
16345,Netravati Express,KN,Kadalundi,14:22,14:24,210.2,1,MTWTFSS
16345,Netravati Express,VLI,Vallikunnu,14:31,14:33,215.5,1,MTWTFSS
16345,Netravati Express,PGI,Parappanangadi,14:39,14:41,220.5,1,MTWTFSS
16345,Netravati Express,TA,Tanur,14:51,14:53,228.6,1,MTWTFSS
16345,Netravati Express,TIR,Tirur,15:03,15:05,236.6,1,MTWTFSS
16345,Netravati Express,TUA,Tirunnavaya,15:16,15:18,245.0,1,MTWTFSS
16345,Netravati Express,KTU,Kuttippuram,15:26,15:28,251.3,1,MTWTFSS
16345,Netravati Express,SRR,Shoranur Junction,16:02,16:04,279.0,1,MTWTFSS
16345,Netravati Express,VTK,Vallathol Nagar,16:08,16:10,282.2,1,MTWTFSS
16345,Netravati Express,WKI,Wadakancheri,16:23,16:25,292.3,1,MTWTFSS
16345,Netravati Express,MGK,Mulagunnathukavu,16:34,16:36,299.4,1,MTWTFSS
16345,Netravati Express,AMLR,Amalanagar,16:42,16:44,304.8,1,MTWTFSS
16345,Netravati Express,PNQ,Punkunnam,16:51,16:53,309.9,1,MTWTFSS
16345,Netravati Express,TCR,Thrissur,16:55,16:57,311.9,1,MTWTFSS
16345,Netravati Express,OLR,Ollur,17:04,17:06,317.5,1,MTWTFSS
16345,Netravati Express,PUK,Pudukad,17:14,17:16,324.0,1,MTWTFSS
16345,Netravati Express,IJK,Irinjalakuda,17:28,17:30,333.1,1,MTWTFSS
16345,Netravati Express,CKI,Chalakudi,17:38,17:40,339.3,1,MTWTFSS
16345,Netravati Express,KUC,Karukkutty,17:52,17:54,349.6,1,MTWTFSS
16345,Netravati Express,AFK,Angamali (Kaladi),18:00,18:02,354.2,1,MTWTFSS
16345,Netravati Express,CWR,Chovvara,18:09,18:11,359.9,1,MTWTFSS
16345,Netravati Express,ALVA,Aluva,18:16,18:18,363.5,1,MTWTFSS
16345,Netravati Express,PNCU,Pulinchodu,18:20,18:22,365.2,1,MTWTFSS
16345,Netravati Express,CPPY,Companypady,18:23,18:25,366.2,1,MTWTFSS
16345,Netravati Express,AATK,Ambattukavu,18:26,18:28,367.1,1,MTWTFSS
16345,Netravati Express,MUTT,Muttom,18:30,18:32,368.1,1,MTWTFSS
16345,Netravati Express,KLMR,Kalamassery,18:33,18:35,369.4,1,MTWTFSS
16345,Netravati Express,CCUV,Cochin University,18:38,18:40,371.4,1,MTWTFSS
16345,Netravati Express,PDPM,Pathadipalam,18:41,18:43,372.7,1,MTWTFSS
16345,Netravati Express,EDAP,Edappally,18:45,18:47,374.0,1,MTWTFSS
16345,Netravati Express,CGPP,Changampuzha Park,18:49,18:51,375.3,1,MTWTFSS
16345,Netravati Express,PARV,Palarivattom,18:52,18:54,376.4,1,MTWTFSS
16345,Netravati Express,JLSD,JLN Stadium,18:55,18:57,377.3,1,MTWTFSS
16345,Netravati Express,KALR,Kaloor,18:58,19:00,378.3,1,MTWTFSS
16345,Netravati Express,ERN,Ernakulam Town,19:01,19:03,379.0,1,MTWTFSS
16345,Netravati Express,KPTM,Kanjiramattam,19:28,19:30,399.0,1,MTWTFSS
16345,Netravati Express,TUVR,Turavur,19:49,19:51,413.7,1,MTWTFSS
16345,Netravati Express,SRTL,Cherthala,20:02,20:04,423.2,1,MTWTFSS
16345,Netravati Express,MAKM,Mararikulam,20:18,20:20,433.6,1,MTWTFSS
16345,Netravati Express,ALLP,Alappuzha,20:35,20:37,446.2,1,MTWTFSS
16345,Netravati Express,AMPA,Ambalappuzha,20:52,20:54,458.0,1,MTWTFSS
16345,Netravati Express,HAD,Haripad,21:14,21:16,474.4,1,MTWTFSS
16345,Netravati Express,CHPD,Cheppad Halt Station,21:23,21:25,479.5,1,MTWTFSS
16345,Netravati Express,KYJ,Kayamkulam Junction,21:34,21:36,486.5,1,MTWTFSS
16345,Netravati Express,OCR,Ochira,21:43,21:45,492.2,1,MTWTFSS
16345,Netravati Express,KPY,Karunagapalli railway station,21:54,21:56,499.9,1,MTWTFSS
16345,Netravati Express,STKT,Sasthamkotta,22:05,22:07,507.1,1,MTWTFSS
16345,Netravati Express,MQO,Munroe Thuruttu,22:13,22:15,511.4,1,MTWTFSS
16345,Netravati Express,KLQ,Kilikollur,22:26,22:28,520.2,1,MTWTFSS
16345,Netravati Express,QLN,Kollam Junction,22:34,22:36,525.6,1,MTWTFSS
16345,Netravati Express,MYY,Mayyanad,22:46,22:48,533.4,1,MTWTFSS
16345,Netravati Express,PVU,Paravur,22:53,22:55,536.9,1,MTWTFSS
16345,Netravati Express,KFI,Kappil,23:00,23:02,541.0,1,MTWTFSS
16345,Netravati Express,EVA,Edavai,23:05,23:07,543.7,1,MTWTFSS
16345,Netravati Express,VAK,Varkala Sivagiri,23:12,23:14,547.5,1,MTWTFSS
16345,Netravati Express,KVU,Kadakavur,23:24,23:26,556.0,1,MTWTFSS
16345,Netravati Express,CRY,Chirayinkeezh,23:30,23:32,558.9,1,MTWTFSS
16345,Netravati Express,PGZ,Perunguzhi,23:37,23:39,562.8,1,MTWTFSS
16345,Netravati Express,MQU,Murukkampuzha,23:43,23:45,566.0,1,MTWTFSS
16345,Netravati Express,KXP,Kaniyapuram,23:50,23:52,569.9,1,MTWTFSS
16345,Netravati Express,KZK,Kazhakuttam,23:57,23:59,573.9,1,MTWTFSS
16345,Netravati Express,TVCN,Thiruvananthapuram North,00:06,00:08,579.7,1,MTWTFSS
16345,Netravati Express,TVP,Thiruvananthapuram Pettah,00:13,00:15,583.9,1,MTWTFSS
16345,Netravati Express,TVC,Thiruvananthapuram Central,00:18,--,586.3,1,MTWTFSS
12601,Mangala Express,MJS,Manjeshwar,--,10:32,0.0,1,MT-TFSS
12601,Mangala Express,UAA,Uppala,10:39,10:41,6.4,1,MT-TFSS
12601,Mangala Express,KMQ,Kumbla,10:52,10:54,16.2,1,MT-TFSS
12601,Mangala Express,KGQ,Kasargod,11:08,11:10,28.2,1,MT-TFSS
12601,Mangala Express,KQK,Kottikkulam,11:20,11:22,36.7,1,MT-TFSS
12601,Mangala Express,BFR,Bekal Fort,11:27,11:29,41.3,1,MT-TFSS
12601,Mangala Express,NLE,Nileshwar,11:50,11:52,59.0,1,MT-TFSS
12601,Mangala Express,CHV,Cheruvattur,11:57,11:59,64.0,1,MT-TFSS
12601,Mangala Express,TKQ,Trikaripur,12:09,12:11,72.3,1,MT-TFSS
12601,Mangala Express,ELM,Elimala,12:23,12:25,82.5,1,MT-TFSS
12601,Mangala Express,PAZ,Payangadi,12:32,12:34,88.6,1,MT-TFSS
12601,Mangala Express,KPQ,Kannapuram,12:42,12:44,95.8,1,MT-TFSS
12601,Mangala Express,PPNS,Pappinisseri,12:51,12:53,101.7,1,MT-TFSS
12601,Mangala Express,VAPM,Valapattanam,12:55,12:57,103.3,1,MT-TFSS
12601,Mangala Express,CAN,Kannur,13:04,13:06,109.9,1,MT-TFSS
12601,Mangala Express,CS,Kannur South,13:11,13:13,113.5,1,MT-TFSS
12601,Mangala Express,ETK,Etakkot,13:22,13:24,121.8,1,MT-TFSS
12601,Mangala Express,TLY,Thalassery,13:33,13:35,129.6,1,MT-TFSS
12601,Mangala Express,JGE,Jagannath Temple Gate,13:38,13:40,132.1,1,MT-TFSS
