train_number,day_of_week,month,scheduled_hour,prev_station_delay,distance_from_origin,is_express,delay_minutes
16334,5,7,15,5.3,52.5,1,0.0
12626,1,2,18,30.3,82.6,1,30.6
66303,2,5,4,9.2,411.6,0,9.3
12602,0,5,18,11.6,137.1,1,10.9
16346,2,10,5,4.0,171.2,1,9.6
16336,4,9,23,29.8,424.1,1,28.7
66301,2,3,9,97.9,702.6,0,110.9
66303,2,10,8,0.7,533.8,0,0.0
16526,6,7,7,14.9,413.0,1,14.1
12076,5,2,22,15.0,223.2,1,9.7
12431,4,4,22,0.0,357.8,1,2.4
66301,0,11,18,61.5,798.7,0,51.4
16525,6,11,18,20.5,333.8,1,25.6
66301,4,10,21,22.9,140.6,0,22.4
12626,2,5,22,5.1,214.8,1,7.6
16526,4,10,8,7.5,567.8,1,8.2
66301,0,4,15,3.3,45.2,0,0.0
16629,5,10,16,2.9,221.8,1,0.0
16604,0,5,7,13.2,259.0,1,12.2
16604,3,8,18,14.1,706.9,1,17.6
16329,1,5,21,4.0,124.5,1,5.6
66302,3,9,12,25.3,27.4,0,25.8
16606,0,8,5,18.4,329.1,1,15.7
12601,5,2,4,2.2,348.6,1,2.1
16525,2,7,15,7.7,59.2,1,8.6
16526,6,5,23,9.6,440.4,1,14.2
12601,2,9,11,13.2,788.1,1,18.0
16334,3,1,13,1.6,403.3,1,8.7
56362,4,3,14,10.3,171.0,0,18.8
66302,6,9,18,58.3,164.7,0,48.2
12076,6,3,16,5.9,725.9,1,3.8
16334,4,12,19,6.6,130.2,1,13.7
16525,0,7,16,82.2,265.2,1,73.2
16329,0,3,4,11.1,33.2,1,13.6
16336,3,6,21,21.8,97.5,1,21.3
16336,4,8,5,24.9,657.2,1,27.2
16606,4,3,23,6.9,725.2,1,24.5
66303,0,5,15,59.9,382.3,0,56.0
12076,2,8,18,21.3,148.2,1,34.8
16650,3,10,18,5.4,251.2,1,0.0
12601,3,12,20,20.4,615.2,1,18.0
66304,2,11,5,5.9,363.2,0,15.3
12601,2,4,20,18.5,43.2,1,12.0
56362,5,3,6,17.2,605.6,0,21.2
56362,6,4,17,0.0,182.6,0,5.7
12601,2,5,6,9.9,188.8,1,15.4
66303,0,8,19,29.6,199.2,0,53.1
16329,3,5,6,8.2,395.8,1,12.1
56362,1,4,11,17.8,759.0,0,18.2
16346,5,12,16,5.6,776.9,1,5.9
16334,6,6,9,4.7,714.3,1,4.6
56362,3,10,4,3.6,365.9,0,4.2
66301,0,6,20,3.6,16.1,0,3.6
66302,4,1,13,35.4,241.9,0,37.7
66302,2,11,10,2.7,464.1,0,0.0
12601,4,1,11,9.1,343.2,1,13.6
16525,0,10,10,18.0,763.7,1,20.0
16346,5,1,7,1.9,301.6,1,3.0
56362,6,9,10,27.9,336.0,0,32.1
12601,1,3,12,19.9,493.9,1,15.3
16334,1,1,12,2.4,343.4,1,5.0
66302,5,1,9,16.1,678.0,0,27.5
66302,5,10,15,27.7,640.7,0,29.3
16334,2,10,7,9.8,320.4,1,4.2
16329,0,1,18,0.0,132.0,1,7.0
16604,0,1,9,17.0,679.2,1,21.5
16346,0,2,8,31.8,190.5,1,33.1
12431,2,5,13,7.5,721.1,1,2.9
16346,1,12,12,3.2,787.4,1,0.0
16525,5,4,8,9.1,131.8,1,10.3
56362,2,10,5,0.0,214.9,0,0.0
12625,2,7,7,16.5,284.3,1,10.4
16604,3,3,20,4.7,590.3,1,13.9
12082,4,8,8,11.2,385.7,1,23.0
12625,5,5,14,1.1,444.0,1,2.4
12431,0,3,22,0.0,415.2,1,2.5
16346,5,11,4,5.3,454.5,1,9.6
16526,2,5,17,11.5,370.2,1,9.9
16650,6,9,11,9.9,684.6,1,14.3
12626,6,7,19,23.8,612.5,1,43.6
66302,3,2,12,8.4,230.2,0,7.3
12082,5,7,6,23.5,592.9,1,18.3
16329,3,9,4,7.2,678.3,1,14.7
16346,5,6,14,2.9,285.6,1,5.7
16525,1,8,20,22.5,405.5,1,22.9
12076,6,3,11,1.9,241.1,1,0.6
12082,0,1,12,5.3,183.2,1,0.0
16526,6,7,13,4.6,472.8,1,16.3
12601,3,5,18,4.6,446.5,1,14.3
66304,6,2,21,12.4,660.8,0,18.5
16526,1,10,21,9.5,228.2,1,6.6
16604,0,1,14,13.3,223.6,1,16.9
12626,2,1,9,23.4,308.1,1,46.0
16606,3,11,13,1.6,119.9,1,0.0
16604,0,4,18,6.2,755.7,1,2.2
12082,3,9,6,2.3,371.6,1,3.9
16336,4,2,8,15.7,659.5,1,33.6
66303,0,4,16,3.4,605.7,0,1.9
66303,5,1,7,2.7,77.4,0,4.1
66302,3,5,13,5.2,21.6,0,0.0
12602,5,1,15,2.2,480.2,1,5.2
12431,0,4,19,14.8,620.6,1,13.7
12076,4,6,10,0.0,23.9,1,6.8
12625,2,5,7,28.1,443.2,1,25.1
66304,0,8,11,6.2,173.6,0,5.3
12076,3,12,15,31.5,55.7,1,25.9
66303,0,1,15,37.0,499.6,0,31.8
12626,4,8,11,9.4,726.1,1,1.3
12602,6,9,17,0.0,59.1,1,12.9
66303,0,2,9,5.2,428.4,0,8.7
12431,5,6,21,7.0,442.0,1,5.1
16334,3,11,15,36.6,676.5,1,38.1
12431,0,4,6,2.7,403.6,1,6.8
16329,0,2,22,0.0,149.1,1,9.3
16526,2,11,19,18.4,782.1,1,17.7
12602,5,1,14,3.6,536.6,1,11.7
16336,4,10,7,17.3,292.1,1,31.6
16334,1,7,11,7.7,648.5,1,5.7
12626,1,4,12,54.6,131.5,1,30.3
12082,0,3,23,0.0,81.7,1,0.0
16526,1,4,23,8.8,463.3,1,9.9
16329,1,1,20,14.2,127.1,1,9.8
56362,4,3,15,5.9,609.4,0,12.6
16346,6,10,23,1.8,403.1,1,0.0
12082,5,12,17,0.0,66.2,1,2.0
16334,6,4,5,0.0,621.4,1,12.3
66302,3,7,16,1.4,39.7,0,3.4
16629,6,7,9,12.0,18.0,1,3.2
16346,6,9,8,15.9,609.7,1,19.2
56362,5,9,19,51.2,722.5,0,51.6
66302,0,11,13,7.7,570.4,0,6.1
16629,5,9,20,6.1,485.2,1,8.3
16606,6,9,22,35.1,301.7,1,34.0
12431,0,7,10,8.1,681.9,1,4.4
66302,2,1,20,15.0,584.4,0,18.6
12602,3,4,21,9.8,22.7,1,18.5
12076,4,7,7,20.3,451.6,1,22.7
66302,0,5,19,1.4,691.5,0,12.8
16604,1,9,23,11.5,545.0,1,21.3
16334,6,8,6,41.3,682.0,1,41.9
16606,0,12,14,8.9,161.2,1,4.1
16329,5,8,4,5.7,235.7,1,6.1
12602,6,4,4,8.9,517.0,1,3.5
66303,4,8,23,3.3,229.5,0,8.8
12431,1,5,12,7.5,592.9,1,4.4
16650,1,2,6,4.1,222.1,1,5.8
12082,2,6,23,6.8,244.9,1,8.6
66302,1,6,6,20.1,304.9,0,29.0
16346,2,12,5,19.5,694.2,1,28.6
66303,3,2,16,0.8,332.4,0,0.0
16606,1,4,12,5.0,673.4,1,4.2
16650,3,11,18,7.3,214.4,1,6.6
16526,2,9,12,11.4,201.2,1,14.9
66301,6,1,17,8.8,223.9,0,4.3
16606,2,2,19,14.3,273.1,1,23.6
12601,2,10,9,14.9,596.9,1,13.8
16336,4,6,14,5.8,435.3,1,9.5
66302,1,10,14,23.1,514.0,0,30.0
12602,3,2,5,14.9,405.1,1,7.8
12082,4,11,7,4.3,175.9,1,3.5
12431,5,5,19,20.9,418.0,1,20.5
12602,3,3,6,9.4,646.6,1,0.0
66302,4,10,23,23.5,699.4,0,32.9
12601,1,1,13,1.1,224.5,1,8.4
16336,5,5,13,5.0,708.7,1,6.2
16336,4,5,16,10.9,580.3,1,4.5
66302,1,5,9,6.3,633.7,0,1.1
16629,2,10,13,4.4,511.4,1,4.4
12082,6,6,22,14.5,275.2,1,16.6
16606,5,1,22,4.8,546.4,1,1.0
12626,5,1,5,22.5,27.5,1,19.8
12082,1,1,10,17.3,100.3,1,22.2
16604,0,11,6,11.2,452.9,1,19.0
16606,4,9,19,5.4,170.7,1,18.6
56362,1,9,16,0.0,392.6,0,0.0
16334,5,6,15,17.3,153.6,1,14.8
56361,1,6,18,50.6,192.9,0,84.1
12601,2,7,7,23.7,376.7,1,16.2
16526,0,12,5,7.4,620.5,1,16.7
16329,4,7,23,11.4,120.9,1,16.6
16336,6,12,9,30.6,602.5,1,29.5
16346,1,5,13,9.8,252.5,1,0.0
16334,4,11,5,16.1,345.6,1,28.4
66304,1,1,9,23.5,431.3,0,14.2
66302,1,11,7,4.4,660.8,0,11.1
66304,5,8,23,19.8,621.2,0,22.0
66303,5,5,6,16.8,661.2,0,23.1
12601,2,8,11,10.5,591.6,1,7.9
16606,5,6,19,41.6,663.1,1,39.5
16650,4,11,6,3.2,461.2,1,10.7
16525,4,3,9,24.3,23.5,1,23.9
16604,1,3,6,18.1,503.4,1,18.6
56362,2,2,13,11.8,119.4,0,18.4
12076,6,12,8,10.5,510.1,1,8.1
16629,3,6,17,6.6,52.1,1,17.1
66304,2,5,15,16.1,405.3,0,24.0
56362,0,7,7,1.3,336.9,0,19.5
12601,5,2,23,0.0,551.5,1,0.0
66301,5,6,6,72.7,514.8,0,62.8
12076,3,6,14,4.6,478.3,1,5.4
16526,3,4,19,14.7,555.6,1,9.7
16336,2,3,23,11.7,180.8,1,11.1
66302,5,4,10,9.2,354.0,0,13.4
12601,2,2,21,2.5,338.8,1,0.0
66301,2,5,11,2.1,100.4,0,0.0
16629,6,12,20,8.0,289.4,1,12.1
16329,5,10,11,2.6,249.9,1,3.3
16606,6,10,13,4.9,232.7,1,0.0
12625,0,10,18,1.6,45.5,1,0.0
12626,0,12,15,6.7,552.8,1,12.6
12082,3,11,11,23.4,165.2,1,33.2
12601,6,6,7,39.4,776.5,1,37.6
66302,5,3,6,14.5,154.4,0,24.1
12601,2,10,6,1.6,716.2,1,11.1
66301,0,9,23,5.6,207.2,0,9.8
66301,3,1,7,9.2,372.1,0,10.2
12626,6,8,11,21.1,740.4,1,27.0
66303,1,1,10,19.3,748.8,0,11.5
66302,6,1,11,12.0,189.1,0,16.7
66301,5,1,23,79.0,743.4,0,78.9
12602,3,1,16,4.9,98.2,1,2.3
16334,1,3,14,11.2,459.1,1,11.6
16334,6,8,9,4.4,299.0,1,5.9
16526,2,3,14,3.8,241.1,1,2.4
16526,5,3,9,2.8,243.6,1,10.2
16526,2,4,16,7.1,18.1,1,3.8
16334,2,12,4,31.6,80.3,1,37.6
16336,6,8,15,5.5,225.6,1,9.0
16334,1,3,6,2.0,242.5,1,9.6
16336,4,12,18,26.6,327.9,1,27.1
66304,0,6,5,9.4,155.9,0,18.8
12431,4,10,17,6.2,480.9,1,3.3
16526,2,12,18,6.3,22.0,1,14.6
16650,1,10,23,15.8,18.5,1,9.5
66304,4,8,16,11.3,472.2,0,13.1
56362,5,11,15,3.7,91.6,0,2.1
66303,3,10,12,17.2,35.1,0,20.7
66303,4,1,4,19.9,118.9,0,18.8
16650,4,8,18,7.7,50.9,1,18.2
12626,5,3,17,4.2,154.3,1,5.6
66302,2,12,9,5.6,546.6,0,5.0
66301,5,6,21,19.8,777.2,0,16.1
66304,6,3,14,17.3,44.8,0,9.8
16525,3,8,20,48.0,720.4,1,62.9
12601,4,4,11,5.6,133.9,1,13.3
12626,1,3,11,15.8,406.9,1,11.3
12625,2,7,13,2.8,260.1,1,4.9
66302,4,7,5,11.2,661.3,0,7.6
12601,3,4,9,12.3,208.4,1,21.1
66301,5,8,6,24.3,664.5,0,23.5
56362,4,6,9,2.4,358.1,0,16.9
16629,2,9,15,7.3,531.0,1,19.5
12602,3,7,5,5.1,145.0,1,6.1
16336,0,3,23,0.0,275.1,1,0.0
12076,3,9,13,3.5,742.3,1,11.8
12602,1,12,16,8.8,457.3,1,8.8
16334,6,7,17,0.4,163.6,1,0.0
16526,3,5,11,6.5,745.0,1,2.7
66304,5,10,10,6.8,50.5,0,3.3
12601,3,3,16,15.8,461.9,1,14.6
12431,6,4,5,5.7,332.7,1,7.3
66304,1,11,7,35.7,710.0,0,40.5
12431,3,9,23,21.2,541.7,1,20.1
16329,5,10,7,4.9,223.8,1,11.0
56362,6,5,5,9.1,353.1,0,19.8
16525,5,7,14,3.4,230.4,1,14.7
12625,6,1,4,5.4,398.9,1,6.7
16629,3,12,22,30.3,109.5,1,36.0
16629,2,1,5,0.0,615.0,1,1.4
16629,3,10,11,12.2,265.8,1,3.7
12626,5,9,23,6.0,564.1,1,0.0
12625,0,12,12,21.9,502.0,1,15.2
56362,3,4,5,34.0,534.4,0,57.8
12082,4,10,17,7.5,81.0,1,13.8
12431,3,4,17,57.6,630.0,1,54.6
66301,1,6,6,20.6,210.4,0,35.5
56362,5,7,17,6.7,585.7,0,16.2
12602,3,1,12,6.7,373.9,1,11.3
12601,6,11,4,6.6,20.8,1,3.9
66303,1,5,11,8.3,85.0,0,0.0
16525,2,4,17,4.9,376.4,1,0.0
66301,5,8,19,22.4,115.2,0,29.0
12626,3,9,10,11.3,699.6,1,16.6
66303,3,4,18,28.2,497.5,0,34.6
16604,4,12,12,4.1,78.0,1,12.3
12601,2,10,13,0.0,657.9,1,7.8
12431,0,10,4,10.0,781.9,1,14.0
12625,2,3,8,4.9,26.5,1,9.1
66301,5,4,14,16.7,745.2,0,7.6
12626,6,2,14,4.8,775.8,1,0.0
12601,2,12,20,1.6,94.0,1,7.0
56362,5,10,18,3.8,497.0,0,6.7
12082,5,1,21,0.0,166.1,1,2.5
66301,0,1,15,10.9,319.5,0,10.2
16336,4,3,11,13.7,282.9,1,10.5
12601,0,2,19,20.8,451.1,1,35.3
12601,1,7,12,7.1,664.5,1,6.5
56361,1,5,10,9.4,546.0,0,2.2
12625,5,3,8,31.8,343.9,1,56.2
12082,0,6,15,10.9,653.4,1,3.1
66302,3,6,21,44.6,483.6,0,47.5
16604,3,11,21,0.0,218.9,1,0.0
66302,6,11,19,5.4,694.4,0,4.8
12626,5,5,8,5.3,613.3,1,10.8
12602,2,3,13,3.9,169.8,1,0.0
56362,2,8,11,11.3,672.9,0,16.4
16525,0,12,17,9.2,768.2,1,7.3
16606,1,11,19,4.3,675.3,1,6.6
12601,5,9,7,65.5,292.9,1,51.4
56361,2,12,22,22.5,271.6,0,32.3
16346,5,9,5,28.9,42.7,1,35.1
66301,5,2,18,13.7,174.1,0,12.2
12626,1,9,14,15.1,676.6,1,7.2
16604,6,6,22,16.2,274.0,1,16.2
66301,4,1,8,0.0,556.7,0,11.2
66304,3,6,19,49.1,509.9,0,54.8
66302,0,9,4,12.1,290.0,0,17.9
12626,2,2,18,2.6,137.6,1,9.0
56362,6,8,22,31.2,290.3,0,25.0
12626,0,5,11,3.7,492.0,1,0.0
16526,3,9,5,4.1,237.7,1,0.0
12626,2,2,11,2.0,111.6,1,5.7
16650,5,1,7,0.0,227.7,1,11.3
56362,6,3,19,3.7,243.6,0,4.1
16334,6,2,5,9.2,354.4,1,3.9
16629,5,9,23,0.0,467.4,1,9.9
16334,0,9,7,9.9,220.1,1,13.7
12602,1,2,16,8.9,25.0,1,6.2
12601,0,5,14,8.5,184.3,1,2.1
16629,3,8,12,8.1,610.4,1,8.5
12601,1,3,8,15.1,615.0,1,13.9
12076,0,10,10,12.0,509.3,1,13.8
66301,4,3,22,45.3,423.5,0,43.0
12625,6,3,17,22.0,154.4,1,27.5
12602,5,8,22,4.2,206.3,1,8.5
12626,6,11,13,4.7,614.1,1,6.0
66304,0,8,14,5.0,413.4,0,6.5
12601,2,10,19,15.7,269.8,1,10.5
16336,4,1,11,5.1,545.4,1,14.1
12431,6,12,12,15.2,658.2,1,1.7
16526,2,5,19,12.1,665.4,1,20.9
16526,3,8,23,10.9,98.9,1,14.0
16334,6,3,18,5.3,692.2,1,5.4
12076,5,12,17,6.9,281.8,1,13.1
12431,5,8,5,6.0,68.0,1,2.5
66302,5,3,8,12.6,658.0,0,19.2
12076,3,5,10,15.2,263.5,1,10.1
16525,2,9,8,8.3,171.4,1,12.7
66304,4,6,17,27.2,702.2,0,46.6
56361,2,11,4,2.6,577.8,0,2.4
56361,5,1,8,36.7,552.3,0,36.3
12076,1,4,6,8.7,648.4,1,2.8
16346,5,1,23,3.9,691.7,1,9.9
16629,2,8,22,18.5,24.4,1,22.7
12082,2,6,6,11.8,297.0,1,12.4
16629,1,1,19,46.7,570.0,1,58.0
66303,2,8,22,7.0,267.8,0,1.0
16525,3,11,11,1.0,177.7,1,1.9
66304,6,12,10,42.3,407.9,0,44.9
56362,1,10,21,15.1,255.1,0,18.3
66303,6,5,9,7.9,636.6,0,12.6
66304,2,9,8,28.3,121.5,0,43.7
12601,4,10,6,3.7,505.9,1,8.5
56361,2,7,12,6.7,274.5,0,7.9
12076,5,4,20,34.1,346.5,1,32.6
16525,0,11,20,7.6,162.6,1,0.0
12626,6,9,4,9.3,684.4,1,17.7
16606,0,8,8,6.8,680.6,1,16.6
16526,4,2,19,6.3,469.4,1,13.2
16629,4,1,21,6.2,585.8,1,5.0
16346,1,11,23,5.8,470.7,1,0.0
16329,6,3,23,10.9,395.0,1,12.1
16650,1,1,13,7.7,447.3,1,0.4
16526,6,10,6,15.7,788.8,1,4.5
66303,5,1,20,0.0,25.8,0,13.2
12431,3,7,12,0.9,183.1,1,2.3
66301,6,3,23,6.5,429.8,0,13.3
12625,0,8,5,5.5,536.7,1,5.4
