gate_id,display_name,lat,lon,road_name,nearest_place,district
node/344450409,LC near Ollur (Mannuthy-Palakkal Road),10.4718288,76.2387398,Mannuthy-Palakkal Road,Ollur,Thrissur
node/352732225,LC near Thalassery (Paraal road),11.7308399,75.5117693,Paraal road,Thalassery,Kannur
node/355168639,LC near Kalpathy,10.7694358,76.6545504,,Kalpathy,Palakkad
node/356643918,LC near Shava kotta palam,9.5108317,76.3200876,,Shava kotta palam,Alappuzha
node/364306481,LC near Edamon,9.0064296,76.9874183,,Edamon,Kollam
node/381074850,LC near Nadakkave (Panickar Road),11.2675345,75.7727598,Panickar Road,Nadakkave,Kozhikode
node/405227279,LC near Vaniyambalam,11.1901218,76.2595544,,Vaniyambalam,Malappuram
node/417496866,LC near Thalassery (Thalassery Kolassery Road),11.7600035,75.4889451,Thalassery Kolassery Road,Thalassery,Kannur
node/417542260,LC near Thalassery (Thalasseri - Irikkur Road),11.7672295,75.478846,Thalasseri - Irikkur Road,Thalassery,Kannur
node/471962351,LC near Pudussery West,10.8015592,76.7301108,,Pudussery West,Palakkad
node/571344047,LC near Mananchira (Court Road),11.2514148,75.779501,Court Road,Mananchira,Kozhikode
node/571782370,LC near Kodumunda (Pattambi-Kodumunda Road),10.8097538,76.149308,Pattambi-Kodumunda Road,Kodumunda,Palakkad
node/580724448,LC near Payyanur (Payyanur-Thrikkaripur-Kalikadavu),12.0972006,75.1933092,Payyanur-Thrikkaripur-Kalikadavu,Payyanur,Kannur
node/580735258,LC near Vengara,12.0304563,75.2464272,,Vengara,Kannur
node/585111227,LC near Cherukunnu (Kannapuram-Dharmasala),11.9801841,75.3176236,Kannapuram-Dharmasala,Cherukunnu,Kannur
node/594906898,LC near Kurikad,9.9271961,76.3741606,,Kurikad,Ernakulam
node/604925081,LC near Chandiroor,9.832708,76.3048407,,Chandiroor,Alappuzha
node/604925341,LC near Cherthala,9.6827602,76.3329621,,Cherthala,Alappuzha
node/605274266,LC near Thrikaripur (vellapp road),12.1415939,75.175781,vellapp road,Thrikaripur,Kasaragod
node/633278521,LC near Manjeshwar,12.7060569,74.9023568,,Manjeshwar,Kasaragod
node/634476206,LC near Palakkunnu (kottikulum arattukadav road),12.4240349,75.0239553,kottikulum arattukadav road,Palakkunnu,Kasaragod
node/671562836,LC near Kuthiathode,9.7803735,76.310005,,Kuthiathode,Alappuzha
node/685602020,LC near Wadakkancherry (Kodungallur - Shornur Road),10.6554138,76.24718,Kodungallur - Shornur Road,Wadakkancherry,Thrissur
node/706930324,LC near Vadavannur,10.6592508,76.6833315,,Vadavannur,Palakkad
node/707728402,LC near Peringala (Bhagavathipadi - Menampally Road),9.2119501,76.5276896,Bhagavathipadi - Menampally Road,Peringala,Alappuzha
node/707728451,LC near Peringala (Bhagavathipadi - Menampally Road),9.2051715,76.5241374,Bhagavathipadi - Menampally Road,Peringala,Alappuzha
node/707728484,LC near Thakazhy (Ambalapuzha-Thiruvalla Highway),9.3742861,76.4074981,Ambalapuzha-Thiruvalla Highway,Thakazhy,Alappuzha
node/707728491,LC near Alappuzha,9.4694945,76.3258659,,Alappuzha,Alappuzha
node/707728497,LC near Peringala (Kayamkulam - Thiruvalla Road),9.1928018,76.5157824,Kayamkulam - Thiruvalla Road,Peringala,Alappuzha
node/713196725,LC near Vallapuzha,10.84026,76.2522113,,Vallapuzha,Palakkad
node/806551341,LC near Pilathara (Kunnaru--Kunhimangalam Road),12.0680662,75.2324586,Kunnaru--Kunhimangalam Road,Pilathara,Kannur
node/1053678254,LC near Kochuveli (Kochuveli Road),8.5125051,76.8933832,Kochuveli Road,Kochuveli,Thiruvananthapuram
node/1053678707,LC near Kochuveli (Kochuveli Road),8.5124516,76.8933232,Kochuveli Road,Kochuveli,Thiruvananthapuram
node/1075413348,LC near Amballur (Urakam-Pudukad Road),10.4197277,76.2620225,Urakam-Pudukad Road,Amballur,Thrissur
node/1126467972,LC near Pathiyoor,9.2038864,76.4961113,,Pathiyoor,Alappuzha
node/1126468160,LC near Shava kotta palam,9.4939173,76.3202273,,Shava kotta palam,Alappuzha
node/1126468275,LC near Alappuzha (Beach Thiruvambadi Road),9.4812692,76.3229775,Beach Thiruvambadi Road,Alappuzha,Alappuzha
node/1126468579,LC near Shava kotta palam,9.5001945,76.3186693,,Shava kotta palam,Alappuzha
node/1126468655,LC near Shava kotta palam,9.4946934,76.3198494,,Shava kotta palam,Alappuzha
node/1126468757,LC near Omanappuzha,9.5478039,76.3194945,,Omanappuzha,Alappuzha
node/1126485158,LC near Cherthala,9.6843649,76.331984,,Cherthala,Alappuzha
node/1126485258,LC near Cherthala,9.6872298,76.330228,,Cherthala,Alappuzha
node/1126485283,LC near Cherthala,9.6979137,76.3177851,,Cherthala,Alappuzha
node/1126516031,LC near Pattanakkad,9.743125,76.3118914,,Pattanakkad,Alappuzha
node/1126516238,LC near Kuthiathode,9.7691317,76.3115101,,Kuthiathode,Alappuzha
node/1126516552,LC near Ezhupunna,9.8216525,76.3014319,,Ezhupunna,Alappuzha
node/1126516653,LC node/1126516653,9.7037673,76.3121626,,,Alappuzha
node/1166511399,LC near Cantonment (College Junction Level Cross),8.8811104,76.5971004,College Junction Level Cross,Cantonment,Kollam
node/1166511404,LC near Kadappakkada,8.8903544,76.6102886,,Kadappakkada,Kollam
node/1166965652,LC near Chittattukara,10.577382,76.0635199,,Chittattukara,Thrissur
node/1166965796,LC near Chittattukara,10.5771818,76.0667022,,Chittattukara,Thrissur
node/1284047615,LC near Ettumanoor (Anamala - Kanakkari Road),9.6871079,76.5445499,Anamala - Kanakkari Road,Ettumanoor,Kottayam
node/1358277686,LC near Punkunnam (thiruvambady rd),10.5335149,76.2088413,thiruvambady rd,Punkunnam,Thrissur
node/1358277747,LC near Guruvayur,10.5995135,76.0444835,,Guruvayur,Thrissur
node/1365686429,LC near Mattancherry,9.9555467,76.2698161,,Mattancherry,Ernakulam
node/1497532640,LC near Amballur (Arakkunnam - Amballoor Road),9.8746894,76.4005072,Arakkunnam - Amballoor Road,Amballur,Ernakulam
node/1510533891,LC near Kayamkulam (Kayamkulam - Thiruvalla Road),9.1967796,76.5112565,Kayamkulam - Thiruvalla Road,Kayamkulam,Alappuzha
node/1511767584,LC near Alappuzha,9.4502174,76.3330319,,Alappuzha,Alappuzha
node/1511950056,LC near Shava kotta palam,9.5208729,76.3216674,,Shava kotta palam,Alappuzha
node/1604386981,LC near Mulakunnathukavu (Attore-Tirur Road),10.5826549,76.2051555,Attore-Tirur Road,Mulakunnathukavu,Thrissur
node/1615612486,LC near Perunguzhi (Azhoor level cross),8.643377,76.7974375,Azhoor level cross,Perunguzhi,Thiruvananthapuram
node/1615612504,LC near Perunguzhi (Manjadimoodu Level cross),8.6495635,76.790877,Manjadimoodu Level cross,Perunguzhi,Thiruvananthapuram
node/1615612731,LC near Kadakkavoor (Vakkom Main Road),8.6884157,76.7608836,Vakkom Main Road,Kadakkavoor,Thiruvananthapuram
node/1683508246,LC near Karunagapally,9.0620169,76.5457154,,Karunagapally,Kollam
node/1683508339,LC near Karunagapally (Puthiyakavu - Chakuvally Road),9.0812693,76.5399893,Puthiyakavu - Chakuvally Road,Karunagapally,Kollam
node/1764149826,LC near Elampalloor,8.9560846,76.6704507,,Elampalloor,Kollam
node/1770457338,LC near Kadalundi (Chaliyam - Kadalundi - Kottakadavu Road),11.1372541,75.826682,Chaliyam - Kadalundi - Kottakadavu Road,Kadalundi,Kozhikode
node/1805290547,LC near Kaniyapuram (Kaniyapuram-Perumathura Road),8.5884155,76.8534622,Kaniyapuram-Perumathura Road,Kaniyapuram,Thiruvananthapuram
node/1805290698,LC near Murukkumpuzha,8.6113758,76.8327329,,Murukkumpuzha,Thiruvananthapuram
node/1854679172,LC near Muttuchira (Muttuchira - Ayakudi Road),9.7561112,76.492333,Muttuchira - Ayakudi Road,Muttuchira,Kottayam
node/1861429031,LC near Cheppad,9.2399992,76.4746868,,Cheppad,Alappuzha
node/1887842861,LC near Enkakkad (Wadakkanchery Vazhani Rd),10.6657109,76.2563118,Wadakkanchery Vazhani Rd,Enkakkad,Thrissur
node/1909587955,LC near Nangiarkulangara,9.2471809,76.4725977,,Nangiarkulangara,Alappuzha
node/1962359017,LC near Mankara (Mankara Chakkanthara Road),10.7797628,76.5094635,Mankara Chakkanthara Road,Mankara,Palakkad
node/1986388344,LC near Punnapra,9.433752,76.3388005,,Punnapra,Alappuzha
node/2002602476,LC near Kurikad,9.9271428,76.3741264,,Kurikad,Ernakulam
node/2017705899,LC near Vaduthala (Chittoor Road),10.0132919,76.2771026,Chittoor Road,Vaduthala,Ernakulam
node/2024529483,LC near Shenoys (Kizhavana Road),9.955729,76.2939203,Kizhavana Road,Shenoys,Ernakulam
node/2039597103,LC near Kalpathy,10.8047777,76.6476425,,Kalpathy,Palakkad
node/2118017473,LC near Vandithavalam,10.6304837,76.739532,,Vandithavalam,Palakkad
node/2118605809,LC near Mullurkara (Mulloorkkara - Varavoor Road),10.7059687,76.2707356,Mulloorkkara - Varavoor Road,Mullurkara,Thrissur
node/2118609483,LC near Lakkidi (Pazhayannur-Lakkidi Road),10.7533531,76.4368745,Pazhayannur-Lakkidi Road,Lakkidi,Palakkad
node/2121173171,LC near Cherukara,10.9317515,76.2267747,,Cherukara,Malappuram
node/2121173860,LC near Pattikkad,11.0198682,76.2306444,,Pattikkad,Malappuram
node/2121714766,LC near Mappattukara,10.8831827,76.2355815,,Mappattukara,Palakkad
node/2136532842,LC near Kaithappuram,10.9808944,75.8800308,,Kaithappuram,Malappuram
node/2136532958,LC near Murikkal,11.0302689,75.8683851,,Murikkal,Malappuram
node/2169557651,LC near Chettippadi (Chamravattam - Tirur - Kozhikkode Road),11.072285,75.855356,Chamravattam - Tirur - Kozhikkode Road,Chettippadi,Malappuram
node/2440782920,LC near Shenoys (Ambikapuram Crossing),9.9616643,76.2927079,Ambikapuram Crossing,Shenoys,Ernakulam
node/2444557374,LC near Polayathodu (Polayathoduu - Chayakkadamukku - Kachikkadavu Road),8.8769338,76.6086535,Polayathoduu - Chayakkadamukku - Kachikkadavu Road,Polayathodu,Kollam
node/2451502202,LC near Karayamparambu,10.2298171,76.3724922,,Karayamparambu,Ernakulam
node/2451546480,LC near Aluva (Aluva Kalady Road),10.1207496,76.3634284,Aluva Kalady Road,Aluva,Ernakulam
node/2451549122,LC near Aluva,10.0932614,76.3463368,,Aluva,Ernakulam
node/2453236878,LC near Chirangara (Old NH Koratty),10.2528757,76.3661346,Old NH Koratty,Chirangara,Thrissur
node/2456547427,LC near Nellayi (Vallakkunnu-Nellayi Road),10.3938362,76.2756457,Vallakkunnu-Nellayi Road,Nellayi,Thrissur
node/2465783853,LC near Kottappuram (AR Menon Road),10.5264995,76.2080852,AR Menon Road,Kottappuram,Thrissur
node/2486248703,LC near Mayyanad (Kottiyam mayyanad road),8.8399577,76.6465932,Kottiyam mayyanad road,Mayyanad,Kollam
node/2495246656,LC near Kunnikode (Kunnikodu - Pattazhy),9.0334101,76.8471796,Kunnikodu - Pattazhy,Kunnikode,Kollam
node/2495917589,LC near Kunnikode (Kunnikodu - Pattazhy),9.0334411,76.8471618,Kunnikodu - Pattazhy,Kunnikode,Kollam
node/2518959777,LC near Karuvanpadi (Pallipuram - Pattambi Road),10.8313933,76.1272127,Pallipuram - Pattambi Road,Karuvanpadi,Palakkad
node/2521085992,LC near Cherukunnu (Cherukunnuthara - Keezhara - Vellikkeelkadavu Road),11.9908131,75.308594,Cherukunnuthara - Keezhara - Vellikkeelkadavu Road,Cherukunnu,Kannur
node/2521086007,LC near Cherukunnu (Kovvappuram - Irinavu Bypass Road),11.9971819,75.2954675,Kovvappuram - Irinavu Bypass Road,Cherukunnu,Kannur
node/2569526690,LC near Polayathodu (Madannada - Eravipuram),8.8728488,76.6155442,Madannada - Eravipuram,Polayathodu,Kollam
node/2569546776,LC near Panayam,8.9740058,76.6074601,,Panayam,Kollam
node/2570349361,LC near Thazhava (Changankulangara - Vallikunnam Road),9.1033536,76.5335014,Changankulangara - Vallikunnam Road,Thazhava,Kollam
node/2570442451,LC near West Kallada,9.0147137,76.6061696,,West Kallada,Kollam
node/2571150865,LC near Udyawara,12.7274915,74.8835561,,Udyawara,Kasaragod
node/2571152312,LC near Uppala,12.6714606,74.9061256,,Uppala,Kasaragod
node/2571153873,LC near Uppala (Uppala - Moosodi Road),12.6839288,74.9029537,Uppala - Moosodi Road,Uppala,Kasaragod
node/2573337035,LC near Bandiyod,12.6348636,74.9246787,,Bandiyod,Kasaragod
node/2577129459,LC near Muzhappilangad,11.7996435,75.4482808,,Muzhappilangad,Kannur
node/2584800087,LC near Melechovva (Thayil - Thazhe Chova Road),11.8663509,75.4026599,Thayil - Thazhe Chova Road,Melechovva,Kannur
node/2585077098,LC near Dharmadom,11.7748433,75.4664249,,Dharmadom,Kannur
node/2599401523,LC near Nedumbassery (Parambayam - Avanamcode Road),10.1411776,76.3769099,Parambayam - Avanamcode Road,Nedumbassery,Ernakulam
node/2603200456,LC near Cantonment (College Junction Level Cross),8.8797107,76.6032281,College Junction Level Cross,Cantonment,Kollam
node/2610846383,LC near Aluva,10.0986491,76.347767,,Aluva,Ernakulam
node/2620773900,LC near Polayathodu (Polayathoduu - Chayakkadamukku - Kachikkadavu Road),8.8768691,76.6086598,Polayathoduu - Chayakkadamukku - Kachikkadavu Road,Polayathodu,Kollam
node/2622365839,LC near Polayathodu (Parakkottu Kavu Temple Road),8.8789821,76.6049413,Parakkottu Kavu Temple Road,Polayathodu,Kollam
node/2641836427,LC near Murukkumpuzha (Karichara Kadavu Road),8.6020664,76.8426057,Karichara Kadavu Road,Murukkumpuzha,Thiruvananthapuram
node/2654257263,LC near Chemanchery,11.4098383,75.7169128,,Chemanchery,Kozhikode
node/2654257265,LC near Chemanchery,11.4098773,75.7169945,,Chemanchery,Kozhikode
node/2694753341,LC near Kadalundi (Mannur Rail Chaliyam Road),11.1504258,75.8283315,Mannur Rail Chaliyam Road,Kadalundi,Kozhikode
node/2705338804,LC node/2705338804,9.7174506,76.3104504,,,Alappuzha
node/2803174325,LC near Thalassery (Thalassery-Kuttiyadi Road),11.7415831,75.5054695,Thalassery-Kuttiyadi Road,Thalassery,Kannur
node/2900337197,LC near Chirayinkeezhu (Chirayinkeezhu - Attingal Road),8.660525,76.7848271,Chirayinkeezhu - Attingal Road,Chirayinkeezhu,Thiruvananthapuram
node/2917454062,LC near Mavelikkara,9.2427775,76.5483723,,Mavelikkara,Alappuzha
node/2920445312,LC near Thakazhy,9.3630631,76.4120689,,Thakazhy,Alappuzha
node/2921756318,LC near Kothanalloor (Kothanalloor Chamakkala Road),9.7200842,76.5229517,Kothanalloor Chamakkala Road,Kothanalloor,Kottayam
node/2926176797,LC near Vadanamkurussi,10.7867589,76.2526051,,Vadanamkurussi,Palakkad
node/2934999994,LC near Aloor (Kodakara - Kodungallur Road),10.3315996,76.291171,Kodakara - Kodungallur Road,Aloor,Thrissur
node/2984138939,LC near Kanhangad (Puthiyotta-Kallooravi Road),12.3173743,75.0859016,Puthiyotta-Kallooravi Road,Kanhangad,Kasaragod
node/2999857481,LC near Chettukundu,12.3696364,75.0564567,,Chettukundu,Kasaragod
node/3042677624,LC near Thrikaripur,12.1188863,75.1846749,,Thrikaripur,Kasaragod
node/3109653113,LC near Kanhangad (Puthiyotta-Kallooravi Road),12.3173891,75.0859913,Puthiyotta-Kallooravi Road,Kanhangad,Kasaragod
node/3109653114,LC near Kanhangad (Puthiyotta-Kallooravi Road),12.3173983,75.0860446,Puthiyotta-Kallooravi Road,Kanhangad,Kasaragod
node/3213757004,LC near Kochuveli (Kochuveli Road),8.5074755,76.8990475,Kochuveli Road,Kochuveli,Thiruvananthapuram
node/3213757005,LC near Kochuveli (Kochuveli Road),8.5074943,76.8991013,Kochuveli Road,Kochuveli,Thiruvananthapuram
node/3213757038,LC near Kochuveli (Kochuveli Road),8.5125922,76.8934709,Kochuveli Road,Kochuveli,Thiruvananthapuram
node/3249471730,LC near Amballur (Urakam-Pudukad Road),10.4196409,76.2619299,Urakam-Pudukad Road,Amballur,Thrissur
node/3265639853,LC near Iringal,11.5588406,75.608865,,Iringal,Kozhikode
node/3387672808,LC near Kadappakkada,8.8902773,76.6103458,,Kadappakkada,Kollam
node/3387672841,LC near Kallumthazham (Kallumthazham Motheenmukku road),8.9011631,76.6229482,Kallumthazham Motheenmukku road,Kallumthazham,Kollam
node/3617771916,LC near Chala (Melarannoor-Killipalam Road),8.4856826,76.9612492,Melarannoor-Killipalam Road,Chala,Thiruvananthapuram
node/3661697672,LC near Kadappakkada,8.8903148,76.6103158,,Kadappakkada,Kollam
node/3661697673,LC near Kallumthazham (Kallumthazham Motheenmukku road),8.9012044,76.6228969,Kallumthazham Motheenmukku road,Kallumthazham,Kollam
node/3661697674,LC near Kallumthazham (Kallumthazham Motheenmukku road),8.9012652,76.622831,Kallumthazham Motheenmukku road,Kallumthazham,Kollam
node/3668093012,LC near Kandamkulangara,11.311561,75.7542673,,Kandamkulangara,Kozhikode
node/3668297583,LC near West Hill (Bhatt Road),11.2897637,75.7634591,Bhatt Road,West Hill,Kozhikode
node/3668297607,LC near West Hill (Bhatt Road),11.291818,75.7625749,Bhatt Road,West Hill,Kozhikode
node/3704141230,LC near Nandikkara (Mapranam Nandikara Road),10.403036,76.2751511,Mapranam Nandikara Road,Nandikkara,Thrissur
node/3709666882,LC near Nandikkara (Mapranam Nandikara Road),10.409633,76.2717744,Mapranam Nandikara Road,Nandikkara,Thrissur
node/3745066984,LC near Kuttikadan Colony (Anandapuram ‐ kodakara road),10.3805977,76.2754198,Anandapuram ‐ kodakara road,Kuttikadan Colony,Thrissur
node/3745068458,LC near Kuttikadan Colony (Anandapuram ‐ kodakara road),10.3806124,76.2755593,Anandapuram ‐ kodakara road,Kuttikadan Colony,Thrissur
node/3748767996,LC near Poothole (Kanimangalam - Nedupuzha Road),10.4995343,76.2055756,Kanimangalam - Nedupuzha Road,Poothole,Thrissur
node/3748768001,LC near Poothole (Kanimangalam - Nedupuzha Road),10.4995266,76.2054953,Kanimangalam - Nedupuzha Road,Poothole,Thrissur
node/3797752732,LC near Pathaya Pura (Vattampoyil Railway gate),11.2400323,75.7860409,Vattampoyil Railway gate,Pathaya Pura,Kozhikode
node/3806142945,LC near Azhiyur (Moonam Gate Road),11.6867588,75.5492306,Moonam Gate Road,Azhiyur,Kozhikode
node/3807766343,LC near Azhiyur (Koroth Road to Mahe Railway station road),11.6929476,75.5479665,Koroth Road to Mahe Railway station road,Azhiyur,Kozhikode
node/3818668393,LC near Thalassery (Thalassery-Kuttiyadi Road),11.744607,75.4999945,Thalassery-Kuttiyadi Road,Thalassery,Kannur
node/3824115492,LC near Pilathara (Kunnaru--Kunhimangalam Road),12.0641997,75.2369858,Kunnaru--Kunhimangalam Road,Pilathara,Kannur
node/3831409974,LC near Udyawara,12.7438386,74.8749699,,Udyawara,Kasaragod
node/3832323264,LC near Iringal,11.5588041,75.6087924,,Iringal,Kozhikode
node/3839412203,LC near Walayar,10.8497972,76.8383971,,Walayar,Palakkad
node/3841371966,LC near Pudussery West,10.8016138,76.7301034,,Pudussery West,Palakkad
node/3842268999,LC near Mulakunnathukavu (Ayodhya Nagar Road),10.5792693,76.2062039,Ayodhya Nagar Road,Mulakunnathukavu,Thrissur
node/3843128966,LC near Ollur (Thaikkattussery Road),10.4543923,76.2428254,Thaikkattussery Road,Ollur,Thrissur
node/3844086874,LC node/3844086874 (muriyad- kodakara road),10.3693951,76.2700624,muriyad- kodakara road,,Thrissur
node/3844086876,LC node/3844086876 (muriyad- kodakara road),10.3694477,76.2699862,muriyad- kodakara road,,Thrissur
node/3844119595,LC near Nellayi (Vallakkunnu-Nellayi Road),10.3938371,76.2755936,Vallakkunnu-Nellayi Road,Nellayi,Thrissur
node/3844288603,LC near Aloor (Kodakara - Kodungallur Road),10.3349434,76.2880413,Kodakara - Kodungallur Road,Aloor,Thrissur
node/3844288605,LC near Aloor (Kodakara - Kodungallur Road),10.3315546,76.2911327,Kodakara - Kodungallur Road,Aloor,Thrissur
node/3844289084,LC near Nedumbassery (Parambayam - Avanamcode Road),10.1411915,76.3767936,Parambayam - Avanamcode Road,Nedumbassery,Ernakulam
node/3844322009,LC near Aluva,10.0986781,76.3477434,,Aluva,Ernakulam
node/3844322049,LC near Aluva,10.0811222,76.339815,,Aluva,Ernakulam
node/3844322267,LC near Vaduthala (Chittoor Road),10.0133328,76.2770579,Chittoor Road,Vaduthala,Ernakulam
node/3846355220,LC near Chemanchery (Kappad-Thiruvangoor Road),11.3844644,75.7314018,Kappad-Thiruvangoor Road,Chemanchery,Kozhikode
node/3848712038,LC near Nilambur,11.2772491,76.2556718,,Nilambur,Malappuram
node/3856005416,LC near Wadakkancherry (Kodungallur - Shornur Road),10.6555135,76.2471791,Kodungallur - Shornur Road,Wadakkancherry,Thrissur
node/3856210316,LC near Kuranchery,10.6235366,76.2182085,,Kuranchery,Thrissur
node/3856210317,LC near Kuranchery,10.6236599,76.2182424,,Kuranchery,Thrissur
node/3856210321,LC near Kuranchery,10.639469,76.2318101,,Kuranchery,Thrissur
node/3856210322,LC near Kuranchery,10.6395092,76.2319472,,Kuranchery,Thrissur
node/3904001355,LC near Walayar,10.8498181,76.8383551,,Walayar,Palakkad
node/3904001558,LC near Walayar,10.8498765,76.8382445,,Walayar,Palakkad
node/3904001561,LC near Walayar,10.8499661,76.8380341,,Walayar,Palakkad
node/3925608627,LC near Thalassery,11.7106949,75.5441632,,Thalassery,Kannur
node/3926805444,LC near Ollur (Mannuthy-Palakkal Road),10.4717993,76.2387088,Mannuthy-Palakkal Road,Ollur,Thrissur
node/3930096908,LC near Cheriyanad (Cheriyanad - Ala - Madathumpady Road),9.2698798,76.5847251,Cheriyanad - Ala - Madathumpady Road,Cheriyanad,Alappuzha
node/3930105828,LC near Haripad (Vazhappally - Railway Cross Road),9.2837548,76.4615985,Vazhappally - Railway Cross Road,Haripad,Alappuzha
node/3930214196,LC near Punnapra,9.4196776,76.3427516,,Punnapra,Alappuzha
node/3930214213,LC near Punnapra,9.4141528,76.3442185,,Punnapra,Alappuzha
node/3930214800,LC near Ambalappuzha,9.4089217,76.3456221,,Ambalappuzha,Alappuzha
node/3930223107,LC near Alappuzha,9.4613185,76.3288937,,Alappuzha,Alappuzha
node/3930223900,LC near Alappuzha,9.4639845,76.3278143,,Alappuzha,Alappuzha
node/3930223910,LC near Punnapra,9.4410682,76.3362382,,Punnapra,Alappuzha
node/3930420947,LC near Mynagappally (Karunagappally - Sasthamcottah Road),9.0429002,76.5795753,Karunagappally - Sasthamcottah Road,Mynagappally,Kollam
node/3930428758,LC near Mynagappally (Karunagappally - Sasthamcottah Road),9.0443568,76.5779033,Karunagappally - Sasthamcottah Road,Mynagappally,Kollam
node/3930673382,LC near Melvettoor (Varkala-Paripally Road),8.7481613,76.716417,Varkala-Paripally Road,Melvettoor,Thiruvananthapuram
node/3930932426,LC near Chirayinkeezhu (chirayinkeezhu-Thiruvananthapuram Road),8.6549375,76.7878172,chirayinkeezhu-Thiruvananthapuram Road,Chirayinkeezhu,Thiruvananthapuram
node/3930988245,LC near Thumba,8.5433448,76.8744882,,Thumba,Thiruvananthapuram
node/3931011760,LC near Kaniyapuram (St Andrews Road),8.580295,76.8600394,St Andrews Road,Kaniyapuram,Thiruvananthapuram
node/3931047763,LC near Kadakkavoor (Randam Gate Road),8.6847644,76.7615269,Randam Gate Road,Kadakkavoor,Thiruvananthapuram
